Starting Cosine-based Knowledge Transfer...
Successfully applied backbone weights for Image task.
Task 0 | Backbone 7 | Epoch 10/20 | Loss: 11.7947 | Accuracy: 0.9897
Task 0 | Backbone 7 | Epoch 11/20 | Loss: 11.4367 | Accuracy: 0.9897
Task 0 | Backbone 7 | Epoch 12/20 | Loss: 11.7897 | Accuracy: 0.9902
Task 0 | Backbone 7 | Epoch 13/20 | Loss: 10.2170 | Accuracy: 0.9911
Task 0 | Backbone 7 | Epoch 14/20 | Loss: 9.6171 | Accuracy: 0.9921
Task 0 | Backbone 7 | Epoch 15/20 | Loss: 9.2446 | Accuracy: 0.9923
Task 0 | Backbone 7 | Epoch 16/20 | Loss: 8.8956 | Accuracy: 0.9926
Task 0 | Backbone 7 | Epoch 17/20 | Loss: 8.6802 | Accuracy: 0.9931
Task 0 | Backbone 7 | Epoch 18/20 | Loss: 8.3924 | Accuracy: 0.9935
Task 0 | Backbone 7 | Epoch 19/20 | Loss: 9.1890 | Accuracy: 0.9935
Task 0 | Backbone 7 | Epoch 20/20 | Loss: 8.0564 | Accuracy: 0.9937
Successfully applied backbone weights for Image task.
Task 1 | Backbone 10 | Epoch 1/20 | Loss: 37.8565 | Accuracy: 0.9408
Task 1 | Backbone 10 | Epoch 2/20 | Loss: 28.9355 | Accuracy: 0.9589
Task 1 | Backbone 10 | Epoch 3/20 | Loss: 25.5554 | Accuracy: 0.9677
Task 1 | Backbone 10 | Epoch 4/20 | Loss: 23.1715 | Accuracy: 0.9719
Task 1 | Backbone 10 | Epoch 5/20 | Loss: 21.5164 | Accuracy: 0.9762
Task 1 | Backbone 10 | Epoch 6/20 | Loss: 20.1021 | Accuracy: 0.9779
Task 1 | Backbone 10 | Epoch 7/20 | Loss: 19.0118 | Accuracy: 0.9791
Task 1 | Backbone 10 | Epoch 8/20 | Loss: 17.9204 | Accuracy: 0.9812
Task 1 | Backbone 10 | Epoch 9/20 | Loss: 17.1514 | Accuracy: 0.9817
Task 1 | Backbone 10 | Epoch 10/20 | Loss: 16.1466 | Accuracy: 0.9838
Task 1 | Backbone 10 | Epoch 11/20 | Loss: 15.3381 | Accuracy: 0.9846
Task 1 | Backbone 10 | Epoch 12/20 | Loss: 14.8953 | Accuracy: 0.9845
Task 1 | Backbone 10 | Epoch 13/20 | Loss: 14.1744 | Accuracy: 0.9862
Task 1 | Backbone 10 | Epoch 14/20 | Loss: 13.6133 | Accuracy: 0.9872
Task 1 | Backbone 10 | Epoch 15/20 | Loss: 13.0326 | Accuracy: 0.9881
Task 1 | Backbone 10 | Epoch 16/20 | Loss: 12.7559 | Accuracy: 0.9886
Task 1 | Backbone 10 | Epoch 17/20 | Loss: 12.3297 | Accuracy: 0.9888
Task 1 | Backbone 10 | Epoch 18/20 | Loss: 11.9421 | Accuracy: 0.9898
Task 1 | Backbone 10 | Epoch 19/20 | Loss: 11.6032 | Accuracy: 0.9902
Task 1 | Backbone 10 | Epoch 20/20 | Loss: 11.3115 | Accuracy: 0.9903
Successfully applied backbone weights for Image task.
Task 2 | Backbone 8 | Epoch 1/20 | Loss: 30.6047 | Accuracy: 0.9571
Task 2 | Backbone 8 | Epoch 2/20 | Loss: 23.6087 | Accuracy: 0.9680
Task 2 | Backbone 8 | Epoch 3/20 | Loss: 20.4859 | Accuracy: 0.9723
Task 2 | Backbone 8 | Epoch 4/20 | Loss: 19.0962 | Accuracy: 0.9754
Task 2 | Backbone 8 | Epoch 5/20 | Loss: 17.4121 | Accuracy: 0.9772
Task 2 | Backbone 8 | Epoch 6/20 | Loss: 15.9817 | Accuracy: 0.9813
Task 2 | Backbone 8 | Epoch 7/20 | Loss: 15.0490 | Accuracy: 0.9832
